source,target,context
eTax,eTax - Цахим татварын тайлан,
eTax Settings,Цахим татварын тохиргоо,
eTax Report,Татварын тайлан,
eTax Report Data Item,Тайлангийн өгөгдөл,
eTax Submission Log,Илгээлтийн түүх,
eTax Taxpayer,Татвар төлөгч,
Tax Report Code,Тайлангийн код,
Tax Type,Татварын төрөл,
Tax Type ID,Татварын төрлийн ID,
Tax Type Code,Татварын төрлийн код,
Tax Type Name,Татварын төрлийн нэр,
Report Number,Тайлангийн дугаар,
Report No,Тайлангийн №,
Report ID,Тайлангийн ID,
Period,Тайлант хугацаа,
Period Year,Тайлант жил,
Period Start,Эхлэх огноо,
Period End,Дуусах огноо,
Status,Төлөв,
New,Шинэ,
Submitted,Илгээсэн,
Assigned,Хуваарилсан,
Returned,Буцаасан,
Received,Хүлээн авсан,
Enabled,Идэвхтэй,
Disabled,Идэвхгүй,
Environment,Орчин,
Staging,Туршилтын,
Production,Үйлдвэрлэлийн,
Username,Хэрэглэгчийн нэр,
Password,Нууц үг,
NE-KEY,NE-KEY,
Organization Registration Number,Байгууллагын регистрийн дугаар,
API Base URL,API үндсэн хаяг,
Auth URL,Нэвтрэлтийн хаяг,
Access Token,Хандалтын токен,
Token Expires At,Токен дуусах,
Auto Sync Reports,Тайлан автомат татах,
Sync Frequency,Татах давтамж,
Daily,Өдөр бүр,
Weekly,7 хоног бүр,
Monthly,Сар бүр,
Last Sync At,Сүүлд татсан,
Last Sync Status,Сүүлийн татах төлөв,
Entity ID,Байгууллагын ID,
TIN,ТТД (Татвар төлөгчийн дугаар),
PIN,Регистрийн дугаар,
Entity Name,Байгууллагын нэр,
Entity Type,Байгууллагын төрөл,
Branch Code,Салбарын код,
Branch Name,Салбарын нэр,
Debt Status,Өрийн төлөв,
Created At,Үүсгэсэн огноо,
Updated At,Шинэчилсэн огноо,
Submitted At,Илгээсэн огноо,
Received At,Хүлээн авсан огноо,
Data Items,Өгөгдлүүд,
Tag ID,Таг ID,
Tag Key,Таг түлхүүр,
Value,Утга,
Save to MTA,MTA-руу хадгалах,
Submit to MTA,MTA-руу илгээх,
Sync Reports,Тайлан татах,
Sync Taxpayers,Татвар төлөгч татах,
Test Connection,Холболт шалгах,
Connection successful!,Холболт амжилттай!,
Connection failed:,Холболт амжилтгүй:,
Authentication successful,Нэвтрэлт амжилттай,
Authentication failed:,Нэвтрэлт амжилтгүй:,
Please configure eTax Settings first,Эхлээд Цахим татварын тохиргоог тохируулна уу,
eTax is not enabled,Цахим татвар идэвхгүй байна,
Please enable eTax in Settings,Тохиргооноос Цахим татварыг идэвхжүүлнэ үү,
NE-KEY is required,NE-KEY шаардлагатай,
Please configure NE-KEY in Settings,Тохиргоонд NE-KEY оруулна уу,
Username is required,Хэрэглэгчийн нэр шаардлагатай,
Password is required,Нууц үг шаардлагатай,
Reports synced successfully,Тайлангууд амжилттай татагдлаа,
No reports found,Тайлан олдсонгүй,
Report saved to MTA,Тайлан MTA-руу хадгалагдлаа,
Report submitted to MTA,Тайлан MTA-руу илгээгдлээ,
Failed to save report:,Тайлан хадгалахад алдаа:,
Failed to submit report:,Тайлан илгээхэд алдаа:,
Taxpayers synced successfully,Татвар төлөгчид амжилттай татагдлаа,
Error syncing reports:,Тайлан татахад алдаа:,
Settings,Тохиргоо,
Reports,Тайлангууд,
Taxpayers,Татвар төлөгчид,
Submission Logs,Илгээлтийн түүх,
API Configuration,API тохиргоо,
Authentication,Нэвтрэлт,
Sync Configuration,Татах тохиргоо,
Actions,Үйлдлүүд,
Debug Mode,Шалгах горим,
Debug Logs,Шалгах логууд,
Request ID,Хүсэлтийн ID,
Response Code,Хариуны код,
Response Message,Хариуны мэдээлэл,
Request Data,Хүсэлтийн өгөгдөл,
Response Data,Хариуны өгөгдөл,
Timestamp,Цаг хугацаа,
Action,Үйлдэл,
Success,Амжилттай,
Failed,Амжилтгүй,
save,хадгалах,
submit,илгээх,
sync,татах,
Select Organization,Байгууллага сонгох,
Current Organization,Одоогийн байгууллага,
Organization Info,Байгууллагын мэдээлэл,
Late Reports,Хугацаа хоцорсон тайлангууд,
Form Details,Маягтын дэлгэрэнгүй,
Sheet Details,Хүснэгтийн дэлгэрэнгүй,
Form Data,Маягтын өгөгдөл,
Sheet Data,Хүснэгтийн өгөгдөл,
Report History,Тайлангийн түүх,
Period Type,Тайлант хугацааны төрөл,
Monthly,Сарын,
Quarterly,Улирлын,
Annual,Жилийн,
Deadline,Хугацаа дуусах,
Deadline Date,Хугацаа дуусах огноо,
Days Overdue,Хоцорсон хоног,
Amendment,Залруулга,
Amendment Number,Залруулгын дугаар,
Original Report,Эх тайлан,
Amended From,Залруулсан тайлан,
Cancel Reason,Цуцлах шалтгаан,
Reference,Лавлагаа,
Reference Number,Лавлагааны дугаар,
Reference Document,Лавлагааны баримт,
Notes,Тэмдэглэл,
Additional Notes,Нэмэлт тэмдэглэл,
Error Details,Алдааны дэлгэрэнгүй,
HTTP Error,HTTP алдаа,
API Error,API алдаа,
Validation Error,Шалгалтын алдаа,
Token expired,Токен дууссан,
Token refresh failed,Токен шинэчлэхэд алдаа,
Invalid credentials,Буруу нэвтрэлт,
Network error,Сүлжээний алдаа,
Server error,Серверийн алдаа,
Timeout,Хугацаа хэтэрсэн,
Connection timeout,Холболтын хугацаа хэтэрсэн,
Read timeout,Уншилтын хугацаа хэтэрсэн,
MTA,Татварын ерөнхий газар,
